Player,Age,Team,G,GS,W3p%,W3PM,C3p%,CFT%,,P_W3p%,P_C3p%,P_CFT%,avg_col
Sabrina Ionescu,25,NYL,36,36,0.448,3.6,0.422,0.851,,0.949,0.949,0.872,0.9105
Jewell Loyd,29,SEA,38,38,0.357,3,0.367,0.819,,0.487,0.513,0.744,0.6285
Arike Ogunbowale,26,DAL,40,40,0.343,2.9,0.393,0.77,,0.308,0.769,0.333,0.551
Kelsey Mitchell,27,IND,40,40,0.398,2.6,0.386,0.835,,0.744,0.744,0.821,0.7825
Rhyne Howard,23,ATL,39,39,0.352,2.5,0.382,0.772,,0.385,0.641,0.385,0.513
Diana Taurasi,41,PHO,26,26,0.342,2.5,0.394,0.809,,0.256,0.795,0.641,0.718
Kelsey Plum,28,LVA,39,39,0.389,2.4,0.382,0.88,,0.641,0.641,0.949,0.795
Marina Mabrey,26,CHI,39,39,0.39,2.3,0.4,0.817,,0.667,0.846,0.692,0.769
Sami Whitcomb,34,SEA,40,19,0.385,2.2,0.333,0.786,,0.59,0.282,0.462,0.372
Jackie Young,25,LVA,40,40,0.449,2.2,0.364,0.79,,0.974,0.487,0.513,0.5
Kayla McBride,31,MIN,38,38,0.342,2.2,0.345,0.882,,0.256,0.333,0.974,0.6535
Breanna Stewart,28,NYL,40,40,0.355,2.1,0.355,0.797,,0.41,0.41,0.615,0.5125
DeWanna Bonner,35,CON,40,40,0.329,1.9,0.303,0.795,,0.154,0.077,0.59,0.3335
Sophie Cunningham,26,PHO,31,31,0.337,1.9,0.403,0.839,,0.205,0.872,0.846,0.859
Kahleah Copper,28,CHI,38,38,0.404,1.8,0.375,0.701,,0.821,0.564,0.103,0.3335
Satou Sabally,25,DAL,38,38,0.361,1.7,0.378,0.77,,0.513,0.59,0.333,0.4615
Chelsea Gray,30,LVA,40,40,0.421,1.6,0.385,0.814,,0.846,0.718,0.667,0.6925
Ariel Atkins,26,WAS,27,27,0.339,1.6,0.373,0.831,,0.231,0.538,0.769,0.6535
Betnijah Laney,29,NYL,40,40,0.392,1.5,0.289,0.699,,0.692,0.051,0.077,0.064
Natisha Hiedeman,26,CON,40,40,0.366,1.5,0.358,0.702,,0.538,0.436,0.128,0.282
Karlie Samuelson,28,LAS,34,23,0.426,1.4,0.443,0.833,,0.872,1,0.795,0.8975
Brittney Sykes,29,WAS,40,40,0.35,1.4,0.305,0.692,,0.333,0.128,0.051,0.0895
Rachel Banham,29,MIN,32,1,0.402,1.3,0.394,0.857,,0.769,0.795,0.897,0.846
Alysha Clark,35,LVA,39,1,0.386,1.3,0.333,0.766,,0.615,0.282,0.308,0.295
Kia Nurse,27,SEA,40,20,0.35,1.3,0.424,0.784,,0.333,0.974,0.436,0.705
Natasha Cloud,31,WAS,37,37,0.298,1.2,0.286,0.744,,0.026,0.026,0.231,0.1285
Tiffany Hayes,33,CON,40,40,0.366,1.2,0.36,0.774,,0.538,0.462,0.41,0.436
Courtney Williams,29,CHI,40,40,0.443,1.2,0.353,0.746,,0.923,0.385,0.256,0.3205
Allisha Gray,28,ATL,38,38,0.356,1.1,0.348,0.723,,0.462,0.359,0.179,0.269
Jordin Canada,27,LAS,38,38,0.333,1.1,0.332,0.794,,0.179,0.256,0.564,0.41
Dana Evans,24,CHI,39,1,0.294,1.1,0.378,0.858,,0,0.59,0.923,0.7565
Nia Coffey,28,ATL,31,31,0.402,1.1,0.307,0.659,,0.769,0.179,0.026,0.1025
Elena Delle Donne,33,WAS,23,23,0.393,1,0.409,0.91,,0.718,0.897,1,0.9485
Aari McDonald,24,ATL,24,9,0.321,1,0.305,0.756,,0.103,0.128,0.282,0.205
Azura Stevens,27,LAS,35,29,0.321,1,0.273,0.707,,0.103,0,0.154,0.077
Kristy Wallace,27,IND,37,9,0.435,1,0.383,0.736,,0.897,0.692,0.205,0.4485
Tyasha Harris,25,CON,40,0,0.464,1,0.328,0.792,,1,0.231,0.538,0.3845
Natasha Howard,31,DAL,39,39,0.299,1,0.313,0.617,,0.051,0.205,0,0.1025
Moriah Jefferson,29,PHO,39,36,0.355,1,0.42,0.818,,0.41,0.923,0.718,0.8205
Diamond Miller,22,MIN,32,32,0.307,1,0.303,0.787,,0.077,0.077,0.487,0.282
